,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
338276,4,3,0.26,Middletown,Delaware,19709,2675,2013-10-29,550000
338277,4,2,2.6,Middletown,Delaware,19709,2300,1995-04-19,610000
338278,3,3,0.11,Middletown,Delaware,19709,3040,2005-08-05,371000
338279,3,3,0.05,Middletown,Delaware,19709,2000,2015-09-30,475000
338281,4,4,0.47,Middletown,Delaware,19709,4100,2016-10-31,975000
338290,2,2,6.0,Middletown,Delaware,19709,1500,1994-03-01,225000
338294,4,3,0.45,Middletown,Delaware,19709,3000,2019-10-22,520000
338295,3,3,0.06,Middletown,Delaware,19709,2125,2018-04-24,350000
338296,3,1,0.39,Middletown,Delaware,19709,1800,1993-08-13,349999
338297,3,3,0.06,Middletown,Delaware,19709,1650,2009-05-04,285000
338298,3,3,0.05,Middletown,Delaware,19709,1425,2009-06-23,245000
338299,4,3,0.8,Middletown,Delaware,19709,3115,2018-08-27,630000
338300,3,3,0.05,Middletown,Delaware,19709,2100,2020-06-15,315000
