,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
336709,5,7,0.88,Voorhees,New Jersey,8043,6928,2002-11-20,1250000
336710,3,3,0.22,Voorhees,New Jersey,8043,1517,2021-03-18,365000
336711,3,3,0.1,Voorhees,New Jersey,8043,1526,1997-07-02,315000
336713,4,3,0.38,Voorhees,New Jersey,8043,2634,1992-08-28,565000
336715,3,3,0.53,Voorhees,New Jersey,8043,3072,2006-11-28,579000
336716,3,4,0.83,Voorhees,New Jersey,8043,3788,2019-12-23,849995
336717,5,5,1.03,Voorhees,New Jersey,8043,4554,1993-07-23,1049000
336718,4,2,0.23,Lawnside,New Jersey,8045,1936,2005-12-29,90000
336719,2,1,0.28,Lawnside,New Jersey,8045,856,2014-09-12,207000
336721,4,4,0.28,Lawnside,New Jersey,8045,4200,2021-05-12,459900
336727,5,3,0.23,Willingboro,New Jersey,8046,3121,2019-06-03,330000
336734,5,3,0.25,Willingboro,New Jersey,8046,3470,2020-06-03,345000
336755,3,3,0.15,Willingboro,New Jersey,8046,2119,2022-02-16,360000
336756,3,2,0.15,Willingboro,New Jersey,8046,1570,2020-07-29,308000
336758,3,2,0.23,Willingboro,New Jersey,8046,1322,2006-08-24,249900
336759,2,1,0.16,Magnolia,New Jersey,8049,912,2000-04-20,194900
336760,3,1,0.16,Magnolia,New Jersey,8049,1092,2003-02-11,189900
336782,5,3,5.4,Lumberton,New Jersey,8048,3402,2003-07-10,595000
336785,3,2,0.21,Manahawkin,New Jersey,8050,1929,2019-11-07,440000
336787,4,3,0.33,Manahawkin,New Jersey,8050,1374,2012-12-10,449900
336801,3,2,0.11,Manahawkin,New Jersey,8050,864,1998-12-17,585000
336802,4,3,0.21,Manahawkin,New Jersey,8050,3200,2021-07-20,679900
336804,5,3,0.21,Manahawkin,New Jersey,8050,2900,2021-07-23,699999
336808,3,1,0.26,Mantua,New Jersey,8051,1360,2021-12-31,160000
336810,4,4,1.41,Mantua,New Jersey,8051,4032,2005-04-14,585000
336816,3,2,0.26,Mantua,New Jersey,8051,2076,2018-12-14,309900
336822,3,3,0.01,Mantua,New Jersey,8051,1372,2006-10-10,169900
336824,4,1,0.22,Mantua,New Jersey,8051,1378,2015-08-28,249900
336832,4,2,0.15,Maple Shade,New Jersey,8052,1618,2016-11-04,299999
336833,3,1,0.23,Maple Shade,New Jersey,8052,1402,1993-11-23,239800
336840,2,2,0.15,Maple Shade,New Jersey,8052,1166,2019-07-30,250000
336842,3,2,0.26,Maple Shade,New Jersey,8052,1426,2021-08-16,349999
336843,4,1,0.15,Maple Shade,New Jersey,8052,1344,2007-04-16,259900
336845,2,1,0.0,Maple Shade,New Jersey,8052,888,2009-04-15,195000
336846,3,1,0.14,Maple Shade,New Jersey,8052,1283,2006-07-24,250000
336848,2,1,0.16,Maple Shade,New Jersey,8052,886,1996-09-20,250000
336849,3,2,0.17,Maple Shade,New Jersey,8052,1276,2020-08-31,264999
336850,2,1,0.13,Maple Shade,New Jersey,8052,1169,2003-03-05,227000
336851,2,1,0.14,Maple Shade,New Jersey,8052,804,2018-02-08,210000
336852,2,1,0.16,Maple Shade,New Jersey,8052,1082,2018-01-12,249900
336853,7,8,4.17,Haddonfield,New Jersey,8033,7500,2016-07-20,4200000
336854,3,2,0.17,Haddonfield,New Jersey,8033,2022,2021-09-16,419999
336855,4,2,0.2,Haddonfield,New Jersey,8033,2373,2015-10-20,525000
336856,5,4,0.56,Haddonfield,New Jersey,8033,6236,2006-08-15,1399000
336858,3,1,0.22,Haddonfield,New Jersey,8033,1378,2018-01-12,375000
336860,4,7,0.67,Haddonfield,New Jersey,8033,10075,2008-03-04,3750000
336861,3,1,0.04,Haddonfield,New Jersey,8033,1216,2019-04-30,380000
336862,5,2,0.12,Haddonfield,New Jersey,8033,2034,1986-12-19,595000
336863,4,3,0.26,Haddonfield,New Jersey,8033,2007,2018-11-02,819900
336866,4,3,0.29,Haddonfield,New Jersey,8033,2317,2020-02-12,799900
336867,4,5,0.56,Haddonfield,New Jersey,8033,3704,2012-11-13,1400000
336869,4,3,0.26,Haddonfield,New Jersey,8033,2336,2019-01-03,675000
336870,5,4,0.22,Haddonfield,New Jersey,8033,3145,2002-02-27,849000
336872,6,7,0.32,Haddonfield,New Jersey,8033,6287,2014-10-29,1949900
336873,4,3,0.16,Haddonfield,New Jersey,8033,2580,2011-02-01,699000
336874,4,4,0.19,Haddonfield,New Jersey,8033,3600,2014-12-15,949900
336875,3,2,0.27,Haddonfield,New Jersey,8033,1636,2015-08-20,629900
336876,5,5,0.48,Haddonfield,New Jersey,8033,3651,2010-08-16,1075000
336877,3,3,0.23,Haddonfield,New Jersey,8033,2259,2016-10-21,755000
336878,5,6,0.52,Haddonfield,New Jersey,8033,6009,2019-05-28,2200000
336879,4,4,0.19,Haddonfield,New Jersey,8033,3045,2005-08-29,1100000
336883,4,3,0.69,Cherry Hill,New Jersey,8034,3367,2021-05-14,775000
336884,4,3,0.2,Cherry Hill,New Jersey,8034,2006,2007-08-29,375000
336887,4,3,0.46,Marlton,New Jersey,8053,3084,2008-08-18,509900
336903,3,2,0.25,Marlton,New Jersey,8053,1892,1986-10-29,359000
336906,4,3,0.05,Marlton,New Jersey,8053,1665,1999-04-06,275000
336907,4,4,0.26,Marlton,New Jersey,8053,3551,2007-12-26,629900
336909,4,3,0.22,Marlton,New Jersey,8053,1860,2014-05-06,400000
336915,4,3,0.97,Marlton,New Jersey,8053,2842,2018-01-26,525000
336926,4,4,0.38,Voorhees,New Jersey,8043,5746,2021-12-30,525000
336930,5,4,1.03,Voorhees,New Jersey,8043,2801,2002-12-02,600000
336931,6,7,0.73,Voorhees,New Jersey,8043,6397,1992-08-26,885000
336933,4,3,0.44,Voorhees,New Jersey,8043,3889,2021-12-16,754980
336937,4,4,0.36,Voorhees,New Jersey,8043,3303,2022-01-07,685965
336949,2,1,0.29,Voorhees,New Jersey,8043,1152,1968-09-16,189000
336950,4,3,1.22,Voorhees,New Jersey,8043,1860,2006-06-23,309900
336999,3,1,0.09,Manahawkin,New Jersey,8050,919,1987-08-13,459000
337003,3,2,0.23,Manahawkin,New Jersey,8050,1568,2004-09-28,435000
337005,3,2,0.18,Manahawkin,New Jersey,8050,2015,2021-03-16,580020
337006,4,2,0.28,Maple Shade,New Jersey,8052,1846,2006-08-17,345000
337014,3,2,0.21,Manahawkin,New Jersey,8050,1494,1997-11-03,375000
337023,4,2,0.25,Manahawkin,New Jersey,8050,1224,2021-07-23,399000
337086,3,2,0.22,Mount Laurel,New Jersey,8054,1707,2005-12-15,340000
337108,2,2,0.17,Mount Laurel,New Jersey,8054,1331,2021-12-29,350000
337214,4,3,0.46,New Egypt,New Jersey,8533,2288,2021-08-20,459900
337306,2,1,0.15,Southampton,New Jersey,8088,1106,1995-02-09,249900
337409,4,3,1.26,Wrightstown,New Jersey,8562,1956,1991-09-23,419000
337423,2,1,0.1,Vincentown,New Jersey,8088,1012,2005-12-06,199900
337427,3,2,0.44,Browns Mills,New Jersey,8015,1542,1987-10-26,299900
337434,3,1,0.35,Williamstown,New Jersey,8094,1480,2004-06-25,109900
337436,6,7,4.88,Mullica Hill,New Jersey,8062,4459,2007-05-08,1149999
337460,3,1,0.22,Clayton,New Jersey,8312,912,1990-08-24,123500
337464,3,3,0.47,Sewell,New Jersey,8080,2253,1997-09-08,259900
337468,3,2,0.55,Clayton,New Jersey,8312,1518,2001-12-19,259900
337469,4,4,0.89,Swedesboro,New Jersey,8085,4292,2008-07-22,550000
337471,4,3,1.0,Swedesboro,New Jersey,8085,1840,2005-09-19,359900
337472,5,2,0.11,Paulsboro,New Jersey,8066,1848,2017-08-28,140000
337473,4,3,1.7,Monroeville,New Jersey,8343,2924,2021-12-08,425000
337476,5,4,0.51,Mullica Hill,New Jersey,8062,3070,2013-11-04,625000
337477,4,3,0.26,Sewell,New Jersey,8080,2570,2021-02-05,445000
337481,3,3,1.02,Franklinville,New Jersey,8322,1870,2001-09-25,350000
337482,3,3,0.05,Mount Royal,New Jersey,8061,2416,2009-11-24,268900
337483,3,2,0.14,Paulsboro,New Jersey,8066,1310,2018-04-04,167000
337493,3,2,0.76,Franklinville,New Jersey,8322,2421,2005-10-19,190000
337494,2,1,1.5,Franklinville,New Jersey,8322,1294,2005-05-23,179900
