,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
313931,4,3,3.05,Readington Twp,New Jersey,8833,3488,1997-03-31,849900
313934,3,3,0.22,Glen Gardner,New Jersey,8826,2184,2020-10-13,159900
313939,3,1,0.97,Lebanon,New Jersey,8826,1790,,294000
313941,4,6,4.35,High Bridge,New Jersey,8801,4426,2020-10-06,879000
313945,2,1,0.17,High Bridge,New Jersey,8829,768,2019-11-04,160000
313951,4,3,0.43,Rockaway Boro,New Jersey,7866,2209,,429900
313980,3,3,0.25,Berkeley Heights Twp,New Jersey,7922,1677,1986-05-01,599999
313982,5,3,0.49,Berkeley Heights Twp,New Jersey,7922,3206,,1169999
313994,3,3,0.11,Piscataway,New Jersey,8854,1344,2008-12-30,450000
313998,4,5,0.72,Warren Twp,New Jersey,7059,4572,2003-05-07,1475000
314001,4,3,0.24,Chatham Township,New Jersey,7928,2025,2020-12-09,950000
314003,7,6,0.79,Chatham Township,New Jersey,7928,6000,2011-05-27,1795000
314026,6,8,2.46,Far Hills,New Jersey,7931,6893,1997-05-31,2695000
314034,5,9,5.14,Bernardsville,New Jersey,7931,7707,,2695000
314045,2,2,0.1,South Brunswick,New Jersey,8540,1130,2005-09-30,239000
314046,1,1,0.01,East Brunswick,New Jersey,8816,953,,175000
314047,3,2,0.03,New Brunswick,New Jersey,8901,1222,2007-06-28,249900
314049,3,2,0.23,Middlesex,New Jersey,7008,1660,1987-12-14,460000
314050,3,1,0.11,Middlesex,New Jersey,8901,1694,2018-05-09,389000
314051,2,1,0.03,East Brunswick,New Jersey,8816,884,2009-07-13,275000
314053,6,5,0.09,Edison,New Jersey,8820,3674,1989-03-09,830000
314054,4,4,0.16,South Brunswick,New Jersey,8540,2483,2017-10-05,689000
314056,3,2,0.82,East Brunswick,New Jersey,8816,1694,,449999
314058,4,3,0.51,Hillsborough Twp,New Jersey,8844,2156,2019-12-09,619900
314059,4,3,0.05,Highland Park,New Jersey,8904,1990,2021-05-24,558000
314080,4,2,0.21,Somerville,New Jersey,8876,1867,1999-04-07,399932
314082,4,3,0.11,Manville,New Jersey,8835,1976,2020-02-07,445000
314122,3,3,0.11,Morris Plains,New Jersey,7950,2678,,849990
314123,6,7,0.58,Chatham Township,New Jersey,7928,7022,,2424900
314124,6,7,0.67,Chatham Township,New Jersey,7928,7022,2021-09-15,2349000
314125,6,6,0.46,Chatham Township,New Jersey,7928,4500,2021-03-08,2100000
314128,4,1,0.17,Piscataway,New Jersey,8854,1414,2001-01-19,299900
314134,3,1,0.25,Madison,New Jersey,7940,1240,1997-05-09,524900
314136,4,2,3.15,Hillsborough,New Jersey,8844,2426,2020-08-03,425000
314137,8,8,6.78,Harding Township,New Jersey,7976,8500,,3649000
314145,4,2,0.08,North Plainfield,New Jersey,7060,1680,2007-10-12,299900
314146,7,4,0.18,Plainfield,New Jersey,7060,2965,1987-08-14,449900
314147,3,2,0.16,Plainfield,New Jersey,7063,1610,,435000
314149,4,6,6.37,Harding Township,New Jersey,7976,4100,,1895000
314151,4,3,0.3,Somerville,New Jersey,8876,2468,,399900
314152,4,3,1.03,Bridgewater Twp,New Jersey,8836,44879,,329000
314154,3,2,0.95,Piscataway,New Jersey,8854,1700,2018-06-13,429000
314155,4,2,0.17,Manville,New Jersey,8835,1469,2004-10-22,349900
314156,3,1,0.28,Somerset,New Jersey,8873,1104,2005-03-07,300000
314157,3,2,0.16,Dunellen,New Jersey,8812,1098,2008-11-05,369900
314158,2,1,0.09,Manville,New Jersey,8835,970,1993-03-31,224900
314163,3,3,0.17,Piscataway,New Jersey,8854,1806,2008-02-27,389000
314164,4,3,0.18,Piscataway,New Jersey,8854,1918,,440000
314166,4,1,0.12,Manville,New Jersey,8835,1152,2021-12-16,350000
314167,4,3,0.23,Piscataway,New Jersey,8854,2479,,431999
314169,6,6,0.47,Plainfield,New Jersey,7063,2772,,599900
314170,3,2,2.41,Hillsborough,New Jersey,8844,1400,,459000
