,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
291907,2,3,0.11,Staten Island,New York,10306,1564,,869000
291911,8,5,0.07,Brooklyn,New York,11214,3124,,1950000
291924,8,5,0.07,Brooklyn,New York,11214,2420,,2100000
291925,6,3,0.73,Staten Island,New York,10306,3000,,2880000
291936,2,2,0.03,Monroe,New Jersey,8831,1293,,449990
291938,3,3,0.06,Staten Island,New York,10314,1552,,689000
291944,3,3,0.13,Staten Island,New York,10306,2504,,1399000
291957,5,4,0.11,New York City,New York,10314,2176,,1198999
291962,3,2,0.11,Staten Island,New York,10306,888,,588800
291973,2,1,0.13,Woodbridge Proper,New Jersey,7095,1015,,375000
291982,3,2,0.23,Colonia,New Jersey,7067,1262,,349900
291984,2,1,0.04,New Brunswick,New Jersey,8901,720,,220000
291994,6,5,2.72,Holmdel,New Jersey,7733,6300,,1999000
291995,4,3,0.19,Edison,New Jersey,8820,2624,,959000
292005,3,2,0.17,Edison,New Jersey,8817,1837,,499000
292006,2,3,0.04,Sayreville,New Jersey,8872,1760,,329900
292015,3,3,0.11,Staten Island,New York,10314,2176,,925000
292020,3,1,0.09,Staten Island,New York,10306,1196,,679900
292023,3,2,0.09,South River,New Jersey,8882,1450,,299000
292024,2,2,0.11,Spotswood,New Jersey,8884,1164,,359900
292026,6,3,0.25,Old Bridge,New Jersey,8857,2137,,525900
292032,2,1,0.18,South River,New Jersey,8882,916,,325000
292039,3,2,0.09,Staten Island,New York,10305,1026,,679900
292041,3,2,0.06,Staten Island,New York,10312,1100,,699000
292042,5,2,0.06,Brooklyn,New York,11228,1840,,1450000
292050,3,3,0.26,Edison,New Jersey,8820,2171,,569000
292066,3,4,0.09,Staten Island,New York,10309,3502,,1229900
292067,7,4,0.06,Brooklyn,New York,11214,2680,,1849000
292071,4,5,0.56,Morganville,New Jersey,7751,4264,,1090000
292090,4,1,0.11,Perth Amboy,New Jersey,8861,1328,,300000
292111,3,2,0.07,Staten Island,New York,10312,1312,,698888
292122,3,2,0.05,Staten Island,New York,10308,1440,,629000
292128,6,4,0.06,Brooklyn,New York,11214,3080,,1788800
292138,3,2,0.06,Staten Island,New York,10306,1084,,559900
292140,4,4,0.24,Staten Island,New York,10309,3550,,1350000
292148,3,2,0.06,Brooklyn,New York,11228,1296,,1200000
292154,3,2,0.15,South River,New Jersey,8882,968,,445000
292160,3,3,0.32,Staten Island,New York,10308,3462,,849900
292164,3,3,0.32,Staten Island,New York,10308,2334,,849900
292165,3,3,0.32,Staten Island,New York,10308,2289,,849900
292166,3,3,0.32,Staten Island,New York,10308,1796,,799900
292176,2,1,0.02,Staten Island,New York,10308,1047,,379000
292189,3,2,0.13,Staten Island,New York,10305,1442,,749999
292194,3,4,0.09,Staten Island,New York,10305,2596,,849900
292197,3,2,0.04,Brooklyn,New York,11204,2424,,1198000
292213,5,6,1.13,Morganville,New Jersey,7751,5846,,1555000
292216,6,2,0.1,South Bound Brook,New Jersey,8880,2688,,229900
292219,14,6,0.06,Brooklyn,New York,11230,5000,,1580000
292220,4,1,0.03,Brooklyn,New York,11230,1400,,685000
292222,8,3,0.09,Brooklyn,New York,11230,3623,,1600000
292240,4,4,0.65,East Brunswick,New Jersey,8816,3124,,638999
292241,3,1,0.23,Edison,New Jersey,8820,1000,,399000
292246,4,2,0.1,Staten Island,New York,10312,1680,,699000
292250,3,4,0.03,Staten Island,New York,10304,122,,568888
292252,3,4,0.07,Staten Island,New York,10314,1682,,810000
292253,5,3,0.1,Staten Island,New York,10314,2368,,929000
292254,24,22,0.07,New York City,New York,11201,15512,,10950000
292257,2,3,0.02,Staten Island,New York,10306,1308,,489000
292258,3,5,0.12,New York City,New York,10013,3129,,7250000
292259,2,2,0.49,New York City,New York,11201,1175,,1900000
292260,2,2,0.49,New York City,New York,11201,1185,,1885000
292261,3,2,0.49,New York City,New York,11201,1499,,2675000
292262,2,2,0.49,New York City,New York,11201,1178,,1845000
292263,1,1,0.49,New York City,New York,11201,730,,1324000
292264,1,1,0.49,New York City,New York,11201,735,,1222000
292297,4,3,0.09,Newark,New Jersey,7112,19998,,450000
292321,4,2,0.42,East Brunswick,New Jersey,8816,1544,,425000
292326,3,1,0.15,Staten Island,New York,10312,1200,,725000
292348,6,5,0.16,Newark,New Jersey,7112,3500,,579900
292360,3,3,0.15,Woodbridge Proper,New Jersey,7095,1312,,349950
292372,6,6,0.11,Woodbridge,New Jersey,7095,5140,,1499000
292380,9,5,0.08,Irvington,New Jersey,7111,2688,,649900
